time,ax,ay,az,atotal
0.002686023712158203,0.89,0.32,-0.15,0.95
0.004693031311035156,0.94,0.24,-0.09,0.97
0.0058460235595703125,0.62,0.02,0.0,0.62
0.01465916633605957,0.35,-0.17,0.09,0.39
0.015916109085083008,0.23,-0.19,0.08,0.3
0.017107009887695312,0.07,-0.06,0.12,0.15
0.019793033599853516,-0.15,0.09,0.15,0.23
0.02210712432861328,-0.3,0.13,0.12,0.34
0.024660110473632812,-0.24,0.07,0.06,0.25
0.027167320251464844,0.02,0.0,0.04,0.04
0.11132311820983887,0.25,0.01,0.03,0.25
0.11348199844360352,0.19,0.05,0.02,0.19
0.1146402359008789,-0.03,0.04,0.03,0.05
0.1310710906982422,-0.12,0.01,0.08,0.14
0.13234329223632812,-0.11,0.04,0.11,0.16
0.13350820541381836,-0.14,0.09,0.07,0.18
0.1360940933227539,-0.14,0.04,0.1,0.17
0.13846921920776367,-0.11,-0.07,0.15,0.19
0.1410670280456543,0.05,-0.09,0.17,0.19
0.14349913597106934,0.2,0.05,0.13,0.24
0.2263491153717041,0.23,0.23,-0.01,0.32
0.22839617729187012,0.3,0.25,-0.07,0.39
0.22952699661254883,0.4,0.18,0.06,0.44
0.24873828887939453,0.37,0.06,0.16,0.4
0.24994802474975586,0.25,-0.07,0.16,0.3
0.25240325927734375,0.12,-0.06,0.15,0.2
0.2550230026245117,-0.02,-0.01,0.06,0.06
0.25743532180786133,-0.09,-0.01,0.01,0.09
0.26035618782043457,-0.02,-0.01,0.03,0.03
0.2614622116088867,0.1,0.02,0.03,0.1
0.35909032821655273,0.22,0.07,0.0,0.23
0.360537052154541,0.4,0.06,0.06,0.4
0.3616461753845215,0.35,0.03,0.07,0.35
0.38065004348754883,0.19,-0.01,0.01,0.19
0.3822181224822998,0.12,0.01,0.04,0.12
0.3847050666809082,-0.11,0.05,0.03,0.12
0.38702917098999023,-0.38,0.07,0.0,0.38
0.3895571231842041,-0.35,0.07,-0.03,0.35
0.3920321464538574,-0.18,0.09,-0.06,0.21
0.39468908309936523,0.09,0.11,-0.13,0.19
0.47560715675354004,0.36,0.11,-0.13,0.39
0.4776611328125,0.32,0.15,-0.1,0.36
0.4787712097167969,0.23,0.08,-0.14,0.28
0.4985952377319336,0.14,-0.05,-0.06,0.16
0.49985408782958984,0.06,-0.04,0.06,0.09
0.5025410652160645,0.1,0.09,0.04,0.14
0.5052201747894287,0.15,0.21,-0.01,0.25
0.5078551769256592,0.12,0.15,-0.03,0.19
0.5107102394104004,0.05,0.0,-0.03,0.05
0.5119421482086182,0.11,-0.1,-0.1,0.17
0.6078710556030273,0.23,-0.11,-0.11,0.27
0.6091182231903076,0.27,0.03,-0.11,0.29
0.6102712154388428,0.3,0.12,-0.12,0.34
0.6130921840667725,0.38,0.1,-0.07,0.39
0.6156702041625977,0.41,0.04,0.01,0.41
0.6182341575622559,0.28,0.02,0.09,0.29
0.6207633018493652,0.06,-0.06,0.01,0.08
0.6232302188873291,-0.02,-0.09,0.01,0.09
0.6257011890411377,-0.08,0.02,0.07,0.1
0.6280961036682129,-0.05,0.13,0.08,0.16
0.708139181137085,0.12,0.17,0.0,0.2
0.7101402282714844,0.21,0.14,0.0,0.25
0.7112712860107422,0.11,0.03,0.04,0.12
0.713165283203125,-0.04,-0.09,0.03,0.1
0.7158370018005371,-0.16,-0.11,0.09,0.21
0.7183990478515625,-0.25,-0.03,0.13,0.28
0.7209672927856445,-0.16,0.07,0.1,0.2
0.7234792709350586,0.06,0.14,0.03,0.15
0.7259111404418945,0.3,0.13,-0.03,0.32
0.7269701957702637,0.46,0.07,-0.05,0.46
0.8072011470794678,0.47,0.05,-0.01,0.47
0.8092260360717773,0.36,0.07,-0.01,0.36
0.8103251457214355,0.17,0.09,0.02,0.19
0.8125271797180176,-0.05,0.11,0.04,0.12
0.8150672912597656,-0.18,0.09,0.08,0.21
0.8175811767578125,-0.23,0.04,0.1,0.25
0.8200850486755371,-0.24,0.01,0.09,0.25
0.8223953247070312,-0.22,-0.05,0.13,0.26
0.8249502182006836,-0.12,-0.11,0.19,0.25
0.8273251056671143,0.01,-0.07,0.22,0.23
0.829796314239502,0.11,0.03,0.12,0.16
0.9092421531677246,0.13,0.1,0.03,0.16
0.9113082885742188,0.09,0.08,-0.02,0.12
0.9124851226806641,0.04,0.01,0.02,0.04
0.9310102462768555,-0.02,-0.04,0.1,0.1
0.9325523376464844,-0.19,-0.05,0.24,0.31
0.935122013092041,-0.45,0.01,0.28,0.53
0.9374532699584961,-0.61,0.03,0.16,0.63
0.939967155456543,-0.45,-0.01,0.07,0.45
0.9425320625305176,-0.09,-0.03,0.1,0.13
0.9449973106384277,0.11,0.05,0.14,0.18
1.023855209350586,0.23,0.16,0.04,0.28
1.025954246520996,0.36,0.15,-0.04,0.39
1.0272061824798584,0.33,0.06,-0.01,0.33
1.0297961235046387,0.17,-0.01,0.03,0.17
1.0322833061218262,0.01,0.01,0.04,0.04
1.0348172187805176,-0.13,0.07,0.06,0.15
1.0373342037200928,-0.16,0.05,0.11,0.2
1.0398261547088623,-0.15,-0.03,0.21,0.25
1.0423572063446045,-0.15,-0.07,0.18,0.24
1.0445690155029297,-0.09,-0.05,0.06,0.11
1.1226463317871094,0.04,0.04,-0.04,0.06
1.12473726272583,0.13,0.1,-0.11,0.19
1.1259591579437256,0.11,0.13,-0.04,0.17
1.1293892860412598,0.1,0.09,0.08,0.15
1.1484291553497314,0.01,0.06,0.12,0.13
1.1495943069458008,-0.13,0.0,0.12,0.17
1.1519932746887207,-0.2,-0.04,0.13,0.24
1.1546730995178223,-0.15,-0.02,0.14,0.2
1.1572051048278809,-0.07,0.04,0.16,0.17
1.1596250534057617,0.05,0.08,0.13,0.16
1.2378551959991455,0.05,0.07,0.15,0.17
1.2399961948394775,-0.08,0.02,0.12,0.14
1.2411541938781738,-0.09,-0.02,-0.01,0.09
1.2465190887451172,0.13,-0.17,-0.36,0.41
1.2483391761779785,0.27,-0.35,-0.17,0.47
1.2819321155548096,0.04,0.09,-0.39,0.4
1.2833433151245117,-0.25,0.47,-0.06,0.53
1.2862000465393066,-0.27,0.41,0.43,0.65
1.2887802124023438,-0.21,0.11,0.46,0.51
1.291388988494873,-0.16,-0.1,0.35,0.39
1.3711841106414795,-0.08,-0.03,0.42,0.42
1.3726401329040527,-0.05,0.2,0.31,0.37
1.374730110168457,0.03,0.25,0.29,0.38
1.3789973258972168,0.17,-0.12,0.37,0.42
1.3806722164154053,0.27,-0.41,0.19,0.52
1.3979172706604004,0.18,-0.08,-0.35,0.4
1.3991622924804688,0.23,0.15,-0.38,0.46
1.4017820358276367,0.04,0.31,-0.48,0.57
1.4044342041015625,0.02,0.29,0.24,0.37
1.407118320465088,0.24,-0.01,0.3,0.38
1.4854559898376465,0.15,-0.2,-0.09,0.26
1.4869022369384766,-0.12,-0.12,0.08,0.18
1.489004135131836,-0.19,0.07,0.37,0.42
1.4956421852111816,-0.14,0.15,0.17,0.26
1.497359275817871,-0.04,0.1,0.04,0.11
1.4998559951782227,0.15,0.06,0.08,0.18
1.5024011135101318,0.22,0.02,0.04,0.22
1.5049552917480469,0.08,0.03,-0.03,0.09
1.5074362754821777,-0.07,0.04,-0.02,0.08
1.5098762512207031,-0.12,0.05,0.03,0.13
1.5871520042419434,-0.14,0.05,0.04,0.15
1.5892632007598877,-0.15,0.05,0.08,0.17
1.5905890464782715,-0.13,0.08,0.19,0.24
1.5960872173309326,-0.09,0.11,0.22,0.26
1.5977730751037598,-0.08,0.06,0.14,0.17
1.6001911163330078,-0.17,0.01,0.12,0.2
1.6024260520935059,-0.25,-0.02,0.11,0.27
1.6049180030822754,-0.31,0.0,-0.07,0.31
1.607384204864502,-0.54,0.12,-0.01,0.55
1.609856128692627,-0.75,0.24,0.21,0.81
1.6878433227539062,-0.6,0.23,0.16,0.66
1.689913272857666,-0.39,0.35,-0.02,0.52
1.691014289855957,-0.52,0.46,0.04,0.69
1.6960530281066895,-0.46,0.18,0.55,0.73
1.6977500915527344,-0.1,-0.09,0.63,0.64
1.7003321647644043,0.05,-0.02,0.47,0.47
1.702867031097412,0.13,0.09,0.41,0.43
1.705388069152832,0.1,0.11,0.39,0.41
1.7078900337219238,0.04,0.01,0.29,0.29
1.710280179977417,-0.18,-0.06,0.12,0.22
1.7127201557159424,-0.37,0.02,0.24,0.44
1.789680004119873,-0.33,0.12,0.42,0.54
1.7917861938476562,-0.21,0.13,0.39,0.46
1.7929062843322754,-0.05,0.14,0.29,0.32
1.7960290908813477,0.19,0.2,0.22,0.35
1.829421043395996,0.34,0.22,0.06,0.4
1.831240177154541,0.45,0.16,0.01,0.47
1.8340651988983154,0.49,0.13,0.05,0.5
1.8367321491241455,0.5,0.15,0.2,0.55
1.8393731117248535,0.39,0.17,0.49,0.64
1.8420262336730957,-0.02,0.18,0.6,0.62
1.91978120803833,-0.4,0.14,0.49,0.64
1.9211950302124023,-0.81,0.15,0.24,0.85
1.923375129699707,-0.74,0.14,-0.05,0.75
1.929171085357666,-0.14,0.08,0.16,0.22
1.9308342933654785,0.5,0.09,0.56,0.75
1.9332771301269531,1.03,0.27,0.82,1.34
1.9358463287353516,1.37,0.45,0.8,1.64
1.9384841918945312,1.12,0.42,0.82,1.45
1.941026210784912,0.29,0.03,0.71,0.76
1.9434411525726318,-0.73,-0.6,0.26,0.98
2.019930124282837,-1.57,-1.19,-0.42,2.01
