time,ax,ay,az,atotal
0.07215380668640137,0.04,0.09,0.23,0.25
0.07470107078552246,-0.02,0.07,0.28,0.28
0.07645010948181152,-0.06,0.08,0.28,0.29
0.07892203330993652,-0.15,0.12,0.23,0.29
0.08140206336975098,-0.14,0.13,0.2,0.27
0.08380699157714844,-0.04,0.08,0.21,0.22
0.09936881065368652,0.12,0.08,0.12,0.18
0.10127711296081543,0.28,0.15,0.02,0.31
0.10478591918945312,0.24,0.23,0.05,0.33
0.10761189460754395,0.11,0.22,0.12,0.27
0.18272709846496582,0.03,0.1,0.07,0.12
0.18531203269958496,0.05,0.01,0.05,0.07
0.18706107139587402,0.06,0.01,0.02,0.06
0.18957114219665527,0.0,0.08,0.01,0.08
0.19229388236999512,0.01,0.1,0.07,0.12
0.1950228214263916,0.05,0.09,0.07,0.12
0.1974639892578125,0.06,0.07,-0.01,0.09
0.19975996017456055,0.06,0.1,-0.11,0.16
0.2161848545074463,0.11,0.1,-0.07,0.16
0.21795296669006348,0.14,0.06,0.01,0.15
0.2934257984161377,0.05,0.01,0.11,0.12
0.2960398197174072,-0.06,0.0,0.14,0.15
0.2978780269622803,-0.1,0.04,0.1,0.14
0.30116891860961914,-0.06,0.12,0.06,0.14
0.3036379814147949,-0.04,0.12,0.04,0.13
0.3062479496002197,-0.06,0.06,0.02,0.08
0.3088691234588623,-0.06,0.02,0.0,0.06
0.3115060329437256,-0.01,0.06,-0.05,0.07
0.3143589496612549,0.03,0.08,-0.04,0.09
0.3163020610809326,0.04,0.09,0.01,0.09
0.40322399139404297,0.05,0.09,0.01,0.1
0.40494298934936523,0.01,0.05,0.01,0.05
0.4067118167877197,-0.05,0.03,-0.02,0.06
0.4095649719238281,-0.02,0.04,-0.03,0.05
0.4120829105377197,0.05,0.03,-0.01,0.05
0.4144937992095947,0.08,0.01,0.01,0.08
0.41707682609558105,0.06,0.02,0.04,0.07
0.4334709644317627,0.05,0.07,0.08,0.11
0.4354879856109619,0.07,0.12,0.09,0.16
0.43914198875427246,0.09,0.13,0.06,0.16
0.5130560398101807,0.08,0.12,0.05,0.15
0.5154290199279785,0.12,0.12,0.05,0.17
0.5169670581817627,0.19,0.12,-0.05,0.23
0.5195939540863037,0.19,0.07,-0.1,0.22
0.5220580101013184,0.13,0.08,-0.06,0.16
0.524864912033081,0.03,0.1,-0.01,0.1
0.5276529788970947,-0.05,0.06,0.11,0.13
0.5311470031738281,-0.08,0.04,0.21,0.22
0.5330519676208496,-0.11,0.03,0.14,0.18
0.5358450412750244,-0.08,0.04,0.13,0.15
0.6104469299316406,0.03,0.01,0.08,0.08
0.6130859851837158,0.07,-0.02,-0.06,0.09
0.6149039268493652,0.02,0.01,-0.09,0.09
0.6176908016204834,-0.03,0.05,-0.09,0.1
0.6203279495239258,-0.1,0.08,-0.15,0.19
0.6231420040130615,-0.15,0.05,-0.1,0.18
0.6260521411895752,-0.2,0.04,0.05,0.21
0.6288719177246094,-0.19,0.05,0.04,0.2
0.6315348148345947,-0.1,0.08,-0.02,0.12
0.6333930492401123,0.05,0.06,0.01,0.07
0.7205679416656494,0.11,0.07,-0.01,0.13
0.7226159572601318,0.13,0.13,-0.01,0.18
0.7243809700012207,0.24,0.2,0.03,0.31
0.7271969318389893,0.31,0.22,0.06,0.38
0.7300319671630859,0.27,0.16,0.11,0.33
0.7318689823150635,0.23,0.1,0.15,0.29
0.7346718311309814,0.26,0.08,0.2,0.33
0.7374517917633057,0.25,0.09,0.24,0.35
0.7401931285858154,0.18,0.1,0.18,0.27
0.7429068088531494,0.14,0.12,0.15,0.23
0.745682954788208,0.11,0.15,0.06,0.19
0.8195359706878662,0.13,0.16,0.01,0.2
0.8215689659118652,0.13,0.14,0.07,0.2
0.8237960338592529,0.06,0.1,0.13,0.17
0.8261768817901611,-0.02,0.07,0.08,0.1
0.8289821147918701,-0.01,0.04,0.19,0.19
0.8315598964691162,-0.04,0.04,0.25,0.25
0.8337390422821045,-0.11,0.01,0.21,0.23
0.8503329753875732,-0.15,0.0,0.16,0.21
0.8523569107055664,-0.17,0.03,0.09,0.19
0.8560209274291992,-0.2,0.07,-0.05,0.21
0.9299590587615967,-0.18,0.1,-0.05,0.21
0.9323351383209229,-0.1,0.09,-0.05,0.14
0.9341118335723877,-0.01,0.04,-0.06,0.07
0.9364640712738037,-0.08,0.01,-0.05,0.09
0.9389698505401611,-0.15,0.01,-0.01,0.15
0.9416170120239258,-0.1,0.04,0.03,0.11
0.9442617893218994,-0.04,0.01,0.1,0.1
0.9468410015106201,0.01,0.01,0.15,0.15
0.9485208988189697,0.07,0.1,0.1,0.15
0.9511299133300781,0.14,0.18,0.04,0.23
1.0253379344940186,0.15,0.19,-0.02,0.24
1.0278749465942383,0.13,0.12,-0.02,0.17
1.0298619270324707,0.11,0.07,0.0,0.13
1.0317959785461426,0.12,0.04,0.09,0.15
1.0342438220977783,0.12,0.06,0.13,0.18
1.0368409156799316,0.07,0.12,0.15,0.2
1.0395889282226562,0.04,0.16,0.19,0.25
