time,ax,ay,az,atotal
0.009778976440429688,-0.17,0.1,0.06,0.2
0.019404888153076172,0.12,0.07,-0.23,0.26
0.029422998428344727,0.19,0.0,-0.12,0.22
0.05006098747253418,0.01,-0.01,0.13,0.13
0.05295515060424805,-0.22,0.0,0.02,0.22
0.05888199806213379,-0.34,0.06,0.04,0.34
0.06879997253417969,-0.39,0.07,0.14,0.42
0.07876300811767578,-0.39,0.05,0.13,0.41
0.08842086791992188,-0.29,0.01,0.04,0.29
0.09903502464294434,-0.11,0.05,-0.03,0.12
0.1086878776550293,-0.04,0.08,0.01,0.09
0.11857891082763672,0.0,0.0,0.06,0.06
0.12889385223388672,-0.01,0.03,0.01,0.03
0.15633702278137207,-0.05,0.06,-0.15,0.16
0.1593918800354004,-0.08,0.07,-0.04,0.11
0.16192913055419922,-0.14,0.02,0.1,0.17
0.16762900352478027,-0.11,-0.03,0.03,0.11
0.17815113067626953,0.02,0.06,0.05,0.08
0.18830490112304688,0.21,0.02,0.06,0.21
0.19800090789794922,0.14,-0.1,0.15,0.22
0.20808100700378418,-0.05,-0.16,-0.01,0.16
0.21790194511413574,0.01,0.07,-0.07,0.09
0.22777199745178223,0.22,0.38,0.05,0.44
0.2557179927825928,0.1,0.13,-0.01,0.16
0.25863003730773926,0.31,0.03,0.03,0.31
0.26127004623413086,0.34,0.04,0.1,0.35
0.26706981658935547,0.35,0.07,0.12,0.37
0.2772650718688965,0.23,0.1,0.22,0.33
0.28694915771484375,0.07,0.06,0.19,0.21
0.29729795455932617,0.19,0.06,0.04,0.2
0.3069620132446289,0.27,0.06,0.09,0.29
0.3171548843383789,0.33,0.07,0.17,0.37
0.32765698432922363,0.37,0.07,0.29,0.47
0.35608386993408203,0.36,0.14,0.31,0.49
0.35926103591918945,0.13,0.34,0.44,0.57
0.3618779182434082,-0.24,0.37,0.54,0.69
0.3661661148071289,-0.54,0.31,0.41,0.74
0.376802921295166,-0.4,0.12,0.22,0.47
0.3866448402404785,-0.17,-0.02,0.28,0.32
0.39638304710388184,0.17,-0.2,0.29,0.39
0.4067368507385254,0.46,-0.17,0.09,0.49
0.4166278839111328,0.39,0.01,0.05,0.39
0.42641401290893555,0.3,0.07,0.14,0.33
0.4550609588623047,0.2,0.06,0.07,0.22
0.45805788040161133,0.15,0.04,-0.04,0.16
0.4608321189880371,0.03,-0.08,-0.02,0.08
0.46556901931762695,-0.04,-0.11,0.02,0.11
0.4764750003814697,-0.01,-0.09,0.2,0.21
0.48561596870422363,0.27,0.01,0.48,0.55
0.4958319664001465,0.58,0.07,0.5,0.76
0.5058259963989258,1.22,0.03,0.2,1.23
0.5158500671386719,1.65,0.17,-0.13,1.66
0.5257501602172852,1.49,0.23,0.03,1.5
0.5356409549713135,0.92,0.11,0.11,0.93
0.5580329895019531,0.32,0.01,0.26,0.41
0.5611028671264648,-0.19,-0.09,0.39,0.44
0.5649619102478027,-0.52,-0.17,0.5,0.74
0.5792641639709473,-0.83,-0.19,0.46,0.96
0.5848760604858398,-1.4,0.0,-0.14,1.4
