time,ax,ay,az,atotal
0.002947092056274414,-0.11,0.03,-0.12,0.16
0.004879951477050781,0.01,0.12,-0.01,0.12
0.00653386116027832,0.19,0.09,0.04,0.21
0.009187936782836914,0.31,-0.03,-0.07,0.31
0.018976926803588867,0.25,-0.03,-0.05,0.25
0.029462099075317383,0.13,-0.01,0.01,0.13
0.03887009620666504,0.01,0.0,-0.07,0.07
0.04870104789733887,-0.05,0.05,-0.06,0.09
0.059092044830322266,-0.04,0.06,0.05,0.08
0.06890201568603516,-0.04,0.04,0.07,0.09
0.09715700149536133,-0.01,0.06,-0.04,0.07
0.09889006614685059,0.04,0.04,-0.1,0.11
0.10105586051940918,0.01,0.04,-0.07,0.08
0.10835695266723633,-0.04,0.07,0.0,0.08
0.11842608451843262,0.02,0.08,-0.08,0.11
0.1283719539642334,0.02,0.06,-0.07,0.09
0.13864803314208984,-0.05,0.06,0.02,0.08
0.14844393730163574,-0.03,0.02,-0.03,0.04
0.15855193138122559,0.02,0.0,-0.17,0.17
0.1683349609375,0.05,0.01,-0.09,0.1
0.19770216941833496,0.03,0.04,0.04,0.06
0.19934916496276855,0.03,0.04,0.07,0.08
0.2013540267944336,-0.01,0.06,0.02,0.06
0.20767903327941895,-0.07,0.07,0.01,0.09
0.2176668643951416,-0.09,0.05,0.01,0.1
0.22766494750976562,-0.02,0.05,-0.1,0.11
0.2376270294189453,0.13,0.06,-0.24,0.27
0.2475290298461914,0.29,0.04,-0.27,0.39
0.2574620246887207,0.38,-0.01,-0.13,0.4
0.26757001876831055,0.41,-0.09,0.04,0.42
0.3035118579864502,0.36,-0.18,0.06,0.4
0.3054168224334717,0.23,-0.08,-0.03,0.24
0.3069288730621338,0.13,0.07,0.02,0.14
0.3097341060638428,0.13,0.17,0.18,0.27
0.3167698383331299,0.19,0.16,0.33,0.41
0.32715296745300293,0.15,0.05,0.37,0.4
0.33696794509887695,0.01,-0.08,0.29,0.3
0.3469870090484619,-0.13,-0.09,0.25,0.29
0.35670995712280273,-0.1,0.02,0.18,0.2
0.366771936416626,0.02,0.2,0.04,0.2
0.4020540714263916,0.14,0.29,-0.08,0.33
0.4040238857269287,0.13,0.14,-0.21,0.28
0.40550804138183594,0.03,-0.09,-0.36,0.37
0.40807294845581055,-0.06,-0.19,-0.48,0.51
0.41631007194519043,-0.21,-0.15,-0.5,0.56
0.4264049530029297,-0.4,0.09,-0.4,0.57
0.43589091300964355,-0.61,0.24,-0.27,0.7
0.446321964263916,-0.85,0.27,-0.09,0.89
0.4560420513153076,-0.9,0.3,0.11,0.95
0.46595001220703125,-0.56,0.17,0.1,0.59
0.501335859298706,-0.24,0.05,0.12,0.27
0.5032718181610107,-0.14,0.11,0.28,0.33
0.5046098232269287,-0.13,0.2,0.32,0.39
0.5077469348907471,-0.17,0.2,0.38,0.46
0.51534104347229,-0.25,0.18,0.55,0.63
0.5254209041595459,-0.41,0.13,0.52,0.67
0.5355269908905029,-0.57,0.06,0.45,0.72
0.5455329418182373,-0.69,0.09,0.47,0.83
0.5561280250549316,-0.75,0.15,0.46,0.89
0.5655338764190674,-0.76,0.22,0.31,0.84
0.5987460613250732,-0.78,0.27,0.17,0.84
0.6004421710968018,-0.83,0.27,0.15,0.88
0.6016781330108643,-0.92,0.2,0.12,0.94
0.6047260761260986,-1.02,0.11,0.1,1.03
0.6148419380187988,-1.03,0.09,0.34,1.08
0.6246168613433838,-0.9,0.15,0.36,0.98
0.6348111629486084,-0.6,0.11,0.3,0.67
0.6447999477386475,-0.2,-0.07,0.45,0.49
0.6546461582183838,0.14,-0.35,0.62,0.72
0.6645171642303467,0.36,-0.64,0.66,0.98
0.6744768619537354,0.49,-0.92,0.59,1.19
0.7048609256744385,0.56,-1.35,0.32,1.49
0.7065508365631104,0.58,-2.0,-0.37,2.11
0.7080399990081787,0.38,-2.72,-1.15,2.97
0.713878870010376,0.07,-3.58,-2.05,4.12
0.7242929935455322,-0.01,-4.38,-3.53,5.62
0.7339909076690674,-0.25,-4.77,-4.74,6.72
0.7443249225616455,-1.56,-5.07,-4.53,6.97
0.7539660930633545,-3.45,-5.61,-2.84,7.17
0.7640321254730225,-4.75,-6.16,-1.31,7.88
0.7737791538238525,-4.97,-6.53,-0.07,8.2
0.8041329383850098,-4.46,-6.62,1.29,8.08
0.8056490421295166,-4.2,-6.34,1.94,7.84
0.8069989681243896,-4.51,-5.78,1.77,7.54
0.8131310939788818,-5.49,-5.07,1.51,7.62
0.8237130641937256,-6.82,-4.4,1.78,8.3
0.8334028720855713,-7.6,-3.55,2.17,8.66
0.8434150218963623,-7.45,-2.6,2.35,8.23
0.852989912033081,-6.83,-1.86,2.13,7.39
0.8632299900054932,-6.13,-1.37,1.79,6.53
0.8730008602142334,-5.35,-1.13,1.89,5.78
0.9041759967803955,-4.53,-1.03,2.27,5.17
0.9056971073150635,-3.88,-0.83,2.68,4.78
0.9070219993591309,-3.39,-0.46,2.88,4.47
0.9123818874359131,-2.97,0.05,2.74,4.04
0.9224941730499268,-2.61,0.6,2.33,3.54
0.9327099323272705,-2.49,1.22,1.82,3.31
0.9430780410766602,-2.78,1.76,1.67,3.68
0.9532201290130615,-3.24,2.17,2.0,4.38
0.9631400108337402,-3.36,2.52,2.52,4.89
0.9726309776306152,-3.22,3.33,2.38,5.2
1.002864122390747,-2.94,4.05,1.68,5.27
1.004554033279419,-2.57,4.4,1.24,5.24
1.0060608386993408,-1.89,4.69,1.37,5.23
1.0116770267486572,-0.75,4.66,1.56,4.97
1.021785020828247,0.46,4.5,1.35,4.72
1.0321681499481201,1.43,4.59,0.95,4.9
1.0419590473175049,2.22,4.83,0.71,5.36
1.0517351627349854,2.82,5.03,0.58,5.79
1.0616910457611084,3.31,5.1,0.32,6.08
1.0715811252593994,3.76,5.08,0.1,6.32
1.1067421436309814,3.98,4.98,0.0,6.37
1.108374834060669,4.16,4.72,-0.24,6.29
1.1106131076812744,4.42,4.55,-0.62,6.37
1.1133291721343994,4.75,4.69,-0.9,6.73
1.121124029159546,5.28,4.88,-1.02,7.26
1.1311838626861572,5.76,5.18,-1.42,7.87
1.1410229206085205,5.91,5.54,-2.09,8.36
1.1512959003448486,5.27,5.67,-2.39,8.1
1.1608850955963135,4.2,5.37,-1.81,7.05
1.1708550453186035,3.61,4.87,-0.84,6.12
1.2068631649017334,3.58,4.58,-0.43,5.82
1.2085559368133545,3.9,4.3,-0.34,5.81
1.2107040882110596,4.21,4.43,-0.54,6.13
1.2134380340576172,4.68,4.71,0.01,6.63
1.2202379703521729,5.42,4.23,-0.25,6.87
